"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1975-03,,quarterly,9179,,,,,1975-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1975-04,,quarterly,9423,,,,,1975-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1975-05,,quarterly,9423,,,,,1975-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1975-06,,quarterly,9423,,,,,1975-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1975-07,,quarterly,9707,,,,,1975-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1975-08,,quarterly,9707,,,,,1975-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1975-09,,quarterly,9707,,,,,1975-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1975-10,,quarterly,9809,,,,,1975-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1975-11,,quarterly,9809,,,,,1975-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1975-12,,quarterly,9809,,,,,1975-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1976-01,,quarterly,10012,,,,,1976-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1976-02,,quarterly,10012,,,,,1976-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1976-03,,quarterly,10012,,,,,1976-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1976-04,,quarterly,10276,,,,,1976-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1976-05,,quarterly,10276,,,,,1976-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1976-06,,quarterly,10276,,,,,1976-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1976-07,,quarterly,10520,,,,,1976-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1976-08,,quarterly,10520,,,,,1976-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1976-09,,quarterly,10520,,,,,1976-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1976-10,,quarterly,10682,,,,,1976-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1976-11,,quarterly,10682,,,,,1976-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1976-12,,quarterly,10682,,,,,1976-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1977-01,,quarterly,10763,,,,,1977-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1977-02,,quarterly,10763,,,,,1977-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1977-03,,quarterly,10763,,,,,1977-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1977-04,,quarterly,10926,,,,,1977-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1977-05,,quarterly,10926,,,,,1977-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1977-06,,quarterly,10926,,,,,1977-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1977-07,,quarterly,11251,,,,,1977-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1977-08,,quarterly,11251,,,,,1977-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1977-09,,quarterly,11251,,,,,1977-09-01
